Player 1,Player 1 Score,Player 2,Player 2 Score
Fjant,2,Michnek,0
Magnath,2,Cognite,0
Lilipadd,2,Franz,0
Boanaan,1,Acheron,1
Alluton,1,CobbleStone,1
Luolis,1,Dyncommon,1
Boanaan,1,Acheron,0
Spazymazy,1,Gref,1
goblin,1,Nisho,1
Jackyy,2,Patches,0
Esarel,0,Ibiree,2
Fjant,2,Gref,0
Tolo,0,BreaDy,2
Ardent,0,EchoSoldier,0
Acheron,0,Michnek,0
TheKazootie,0,LeWaffles,0
Revo,0,Rapdis,2
Spazymazy,1,Boanaan,1
Gorthauer,1,GoatPuncher,1
Jackyy,0,Lilipadd,0
Gorthauer,0,Tolo,0
goblin,0,Magnath,0
Luolis,0,Franz,0
GoatPuncher,0,LeWaffles,0
Alluton,0,Cognite,0
Dyncommon,0,Patches,0
TheKazootie,0,BreaDy,0
CobbleStone,0,Nisho,0
goblin,0,CobbleStone,0
Revo,0,Ardent,0
Spazymazy,0,Acheron,0
Magnath,0,Alluton,0
Esarel,0,Rapdis,0
Fjant,0,Boanaan,0
Cognite,0,Nisho,0
EchoSoldier,0,Ibiree,0
Michnek,0,Gref,0
Gorthauer,0,LeWaffles,0
Jackyy,0,Franz,0
Revo,0,EchoSoldier,0
Tolo,0,TheKazootie,0
Lilipadd,0,Dyncommon,0
Esarel,0,Ardent,0
GoatPuncher,0,BreaDy,0
Luolis,0,Patches,0
Rapdis,0,Ibiree,0
HiGhDrA,1,RotterdaM,1
GuitarKing,0,sebesdes,2
Frogos,1,UncLeToBy,1
Iba,1,Heaven,1
Jesu,0,Anticore,2
NeWHoriZonS,1,Bulmyeolja,1
Djorjx,2,Azura,0
Gemini,1,Mag,1
Grubenhubert,2,imData,0
Zehreela,0,Takuah,2
HiGhDrA,2,Heaven,0
MarsBar,0,YourBroChris,2
CharacteR,1,Maykoto,1
Iba,2,Djorjx,0
XenoDactyl,1,Rombuzz,1
Anggrath,0,SewerBadger,0
Azura,0,RotterdaM,0
Harokku,0,LegolandMan,0
NeWHoriZonS,0,Frogos,0
XenoDactyl,0,MarsBar,0
Jesu,0,GuitarKing,0
Grubenhubert,0,UncLeToBy,0
Rombuzz,0,LegolandMan,0
Gemini,0,sebesdes,0
imData,0,Bulmyeolja,0
Harokku,0,YourBroChris,0
Mag,0,Anticore,0
Jesu,0,Mag,0
CharacteR,0,Anggrath,0
Iba,0,Azura,0
GuitarKing,0,Gemini,0
Zehreela,0,Maykoto,0
HiGhDrA,0,Djorjx,0
sebesdes,0,Anticore,0
SewerBadger,0,Takuah,0
RotterdaM,0,Heaven,0
XenoDactyl,0,LegolandMan,0
NeWHoriZonS,0,UncLeToBy,0
CharacteR,0,SewerBadger,0
MarsBar,0,Harokku,0
Frogos,0,imData,0
Zehreela,0,Anggrath,0
Rombuzz,0,YourBroChris,0
Grubenhubert,0,Bulmyeolja,0
Maykoto,0,Takuah,0
